street,city,zip,long,lat,quality,match,success,error
,Cloverdale,95425,-123.017316,38.799059,QUALITY_CITY_CENTROID,Exact,Success,None
,Fairfax,94930,-122.592823,37.986023,QUALITY_ZIP_CODE_TABULATION_AREA_CENTROID,Exact,Success,None
,Milpitas,95035,-121.895059,37.434586,QUALITY_CITY_CENTROID,Exact,Success,None
,Napa,94558,-122.298885,38.304764,QUALITY_CITY_CENTROID,Exact,Success,None
,Petaluma,94954,-122.631276,38.245849,QUALITY_CITY_CENTROID,Exact,Success,None
,Richmond,94541,-122.346512,37.934879,gpsvisualizer,CityLevel,Success,None
,Rio Vista,94571,-121.695849,38.163913,QUALITY_CITY_CENTROID,Exact,Success,None
,San Mateo,94401,-122.320445,37.570385,QUALITY_CITY_CENTROID,Exact,Success,None
,San Ramon,94583,-121.952138,37.75735,QUALITY_CITY_CENTROID,Exact,Success,None
,Santa Rosa,95409,-122.704646,38.448611,QUALITY_ZIP_CODE_TABULATION_AREA_CENTROID,Exact,Success,None
,South San Francisco,94080,-122.4301,37.652857,QUALITY_ZIP_CODE_TABULATION_AREA_CENTROID,Exact,Success,None
1 12th Avenue \#1,San Francisco,94118,-122.471145,37.786686,QUALITY_ADDRESS_RANGE_INTERPOLATION,Exact,Success,None
1 12th Avenue,San Francisco,94118,-122.471145,37.786686,QUALITY_ADDRESS_RANGE_INTERPOLATION,Exact,Success,None
1 14th Avenue,San Francisco,94118,-122.473329,37.787183,QUALITY_ADDRESS_RANGE_INTERPOLATION,Exact,Success,None
1 16th Avenue,San Francisco,94118,-122.475556,37.786775,QUALITY_ADDRESS_RANGE_INTERPOLATION,Exact,Success,None
